epoch#, log10(loss), log10(val_loss)
455, -3.1802678766436574, -3.091563983187495
456, -3.1790844830308203, -3.0922080308740827
457, -3.179363065629066, -3.0891226126658284
458, -3.1799089469452575, -3.085598886104077
459, -3.1793066395586727, -3.0897728387143903
460, -3.1794677234973245, -3.0898991203958106
461, -3.1795164119479127, -3.0875372885272014
462, -3.18032929064667, -3.079045719367734
463, -3.178942472394182, -3.090936628463507
464, -3.1807370869619858, -3.0960512206082043
465, -3.1810866138690264, -3.091607339502763
466, -3.1806640807152156, -3.0812412571440784
467, -3.181669502896476, -3.0874013041619763
468, -3.1808370161918766, -3.0936397286616897
469, -3.180146031548905, -3.0872542057729793
470, -3.180723366216389, -3.0937971318567192
471, -3.1808890406223465, -3.0954187091517236
472, -3.1813421504406203, -3.092353502494305
473, -3.1817616944850173, -3.088097443705729
474, -3.1809943353628345, -3.099276754668276
475, -3.182339066625813, -3.0953261676628663
476, -3.1814865989450727, -3.0939484721322965
477, -3.180997403327229, -3.0920299859144422
478, -3.181232780800467, -3.0972896316257827
479, -3.1819468666321105, -3.090981885939748
480, -3.1809924178960935, -3.094602040288865
481, -3.1823960419849313, -3.0971688343741874
482, -3.1829610063584353, -3.099633984309315
483, -3.1820038289967894, -3.096057181077618
484, -3.1830549752813657, -3.093897099014509
485, -3.1827422866243036, -3.0945333048177215
486, -3.182168070022901, -3.092360506870796
487, -3.1820809438033013, -3.1004471496669153
488, -3.18277312948716, -3.083978498520918
489, -3.182804128578804, -3.0823108744896093
490, -3.183833051169733, -3.09356528158004
491, -3.183308588641533, -3.0868525431867484
492, -3.1824215890699654, -3.094043231776815
493, -3.182774785283322, -3.079554608946102
494, -3.182429707509535, -3.0861199250235116
495, -3.18304649836543, -3.089650602434484
496, -3.1832312941087304, -3.0911771206452365
497, -3.1841720994445626, -3.09533583337451
498, -3.183216453590661, -3.089215393735704
499, -3.1836273956367527, -3.0988436674785733
500, -3.1835461482133938, -3.0921155146409744
501, -3.183812477373604, -3.091867099814138
502, -3.182644535768147, -3.091575625603005
503, -3.1837902062763885, -3.086238920700711
504, -3.1845702203568624, -3.0930547818112513
505, -3.1840718634274996, -3.0946968169059095
506, -3.1834740181775576, -3.0837704997490007
507, -3.18453348875076, -3.09579833870662
508, -3.1846464386839037, -3.0935565958732094
509, -3.1840490383431868, -3.0937273630189215
510, -3.1846764501785105, -3.0929477125501403
511, -3.18489394077829, -3.0995524939367423
512, -3.1849228471414412, -3.0995933166989866
513, -3.1846111700935844, -3.092019018706511
514, -3.1853055443673064, -3.0836668901833812
515, -3.184662217664785, -3.0914241737303887
516, -3.1852875343574314, -3.0975356306225463
517, -3.185053278621026, -3.088842496253047
518, -3.1854786722105506, -3.0949416657700706
519, -3.1866552810643967, -3.0992704003636384
520, -3.185785931916026, -3.0890193941272095
521, -3.185189170279156, -3.098151333496228
522, -3.1861437387045792, -3.0942840689202784
523, -3.185262515239084, -3.091181174675241
524, -3.1849728476958177, -3.094992973847247
525, -3.185242338331316, -3.095966363750029
526, -3.185076698509461, -3.0987522656441104
527, -3.186439081488589, -3.094818437900349
528, -3.185890985753576, -3.09550421498704
529, -3.186226754453309, -3.0890008384948633
530, -3.186123482010374, -3.0935175593718074
531, -3.185089783228444, -3.099575988811724
532, -3.185500293826084, -3.0971632064209347
533, -3.186657495666473, -3.1003018719387643
534, -3.186905758088009, -3.097849658906672
535, -3.1874796208183422, -3.0985002485815585
536, -3.1864772173969924, -3.100121719894487
537, -3.1864562849512086, -3.0993755760705404
538, -3.186136481887509, -3.092032110647719
539, -3.1866553976221192, -3.0967456766487222
540, -3.1866452183656184, -3.0977592575332076
541, -3.187673984821187, -3.0895498991258696
542, -3.1870401697033537, -3.095878591715223
543, -3.186766646804482, -3.0951090134847616
544, -3.1867773729960884, -3.0942102335871633
545, -3.186907546340928, -3.0966206727892978
546, -3.1882000447422447, -3.0945998400823878
547, -3.187529254796022, -3.0928741040454124
548, -3.1870958594819125, -3.089336669139049
549, -3.187977229287311, -3.089458599648101
550, -3.1883276810772982, -3.0905929564839507
551, -3.186754327556199, -3.0929688174171677
552, -3.188487854763046, -3.0913565320965626
553, -3.1873751549647924, -3.0828311932739645
554, -3.1879749300036666, -3.0951288704447126
555, -3.1879125032592697, -3.0870024706516808
556, -3.188913971783442, -3.097876545467359
557, -3.187467904134351, -3.083178419110255
558, -3.187667753856202, -3.0972536735390293
559, -3.1883437503932726, -3.0862459196482153
560, -3.1879126201548993, -3.1001786739948125
561, -3.1892889850824315, -3.1006144655931536
562, -3.1884979212295477, -3.085422360176952
563, -3.1893292094227697, -3.1009980920464386
564, -3.1887777687426593, -3.0994182255637743
565, -3.1889789644339213, -3.0721995445888046
566, -3.189191938188717, -3.1016000721905366
567, -3.1880525278105405, -3.0999982229665775
568, -3.187815724474782, -3.0892578952644136
569, -3.1908271176303282, -3.099975278050483
570, -3.189099953220607, -3.0993207290042806
571, -3.189103274343897, -3.0999763918533665
572, -3.189706068408849, -3.0992902578743347
573, -3.190047659304768, -3.094921723003267
574, -3.1897736059253776, -3.105636362029693
575, -3.189865733701161, -3.0987846666629646
576, -3.1900839595870445, -3.0979733065231407
577, -3.1891944393265264, -3.099341955204832
578, -3.189769027442049, -3.0979307353372634
579, -3.190476760514234, -3.1001597309133513
580, -3.1902951252638485, -3.0924391887896516
581, -3.1897423792791857, -3.097456589517702
582, -3.1905958541446093, -3.100791729553698
583, -3.1900802785140336, -3.094185928146451
584, -3.1897394054299784, -3.0972535154185734
585, -3.190148070085362, -3.0992488599626995
586, -3.190533402358676, -3.0999558983375564
587, -3.1903661244346178, -3.1047022015301975
588, -3.1904959669554978, -3.097601994492151
589, -3.190229817843457, -3.1007828981133136
590, -3.190889807836202, -3.0997115463137046
591, -3.1902317373576, -3.097263192496519
592, -3.192294193911994, -3.095730516619102
593, -3.1903901069094007, -3.09405293176086
594, -3.1912933130197696, -3.1005500615643715
595, -3.1910173346148234, -3.0983300041223374
596, -3.190898988513334, -3.1027425802387025
597, -3.1903972783968237, -3.100507077747442
598, -3.1913863529447624, -3.0985267948473476
599, -3.191066040105995, -3.0939926635242356
600, -3.191122484083039, -3.095049479515766
601, -3.1913524572406873, -3.0857475190063073
602, -3.1915270700037834, -3.0944601812143198
603, -3.191277173465972, -3.0991167180536716
604, -3.1924559949757474, -3.092191245215614
605, -3.192066318076139, -3.1011304567423537
606, -3.1920667901525053, -3.096999458592816
607, -3.192145476717558, -3.1003723228602995
608, -3.1920625021443487, -3.094306683698414
609, -3.19151241476048, -3.093477491817154
610, -3.192368984965129, -3.0942166713025463
611, -3.1911551841238093, -3.103264698796347
612, -3.1922329142127714, -3.0980072967827974
613, -3.1924100861642746, -3.104338498096871
614, -3.1914781163520347, -3.0950673199703953
615, -3.1919165777477243, -3.095723804321204
616, -3.192884566882022, -3.1007582220441168
617, -3.192086067042424, -3.1008260367804596
